,01,02,03,04,05,06,07,08,09,10,11,12
CONUS-CC,0.0496,0.0696,0.1774,0.2333,0.1545,0.0452,0.0181,0.0151,0.057,0.197,0.1763,0.0766
CONUS-CT,0.0446,0.0545,0.1017,0.1269,0.0932,0.0346,0.0164,0.0155,0.0538,0.1365,0.118,0.0718
CONUS-HD,0.1169,0.1233,0.1378,0.1313,0.1101,0.0888,0.0849,0.0981,0.1363,0.1834,0.1696,0.1291
CONUS-NU,0.0134,0.0492,0.1184,0.167,0.1041,0.0293,0.0092,0.0114,0.0564,0.1555,0.0982,0.0285
CONUS-ST,0.0735,0.0988,0.2053,0.2649,0.1982,0.0722,0.0374,0.0394,0.1039,0.2194,0.2027,0.109
